
Path                                           Line Rule             Snippet
----                                           ---- ----             -------
.env                                              7 RedisURL         REDIS_URL=[REDACTED:RedisURL:redi…79/0]
.env                                             10 DatabaseURL      DATABASE_URL=[REDACTED:DatabaseURL:post…2/hh]
.env.dev                                          5 DatabaseURL      DATABASE_URL=[REDACTED:DatabaseURL:post…2/hh]
.env.dev                                          6 RedisURL         REDIS_URL=[REDACTED:RedisURL:redi…79/0]
.env.example                                      6 RedisURL         REDIS_URL=[REDACTED:RedisURL:redi…79/0]
.env.prod                                         5 DatabaseURL      DATABASE_URL=[REDACTED:DatabaseURL:post…2/hh]
.env.prod                                         6 RedisURL         REDIS_URL=[REDACTED:RedisURL:redi…79/0]
docker-compose.yml                               78 DatabaseURL      DATABASE_URL: ${DATABASE_URL:-[REDACTED:DatabaseUR…
docker-compose.yml                               79 RedisURL         REDIS_URL: ${REDIS_URL:-[REDACTED:RedisURL:redi…9/…
docker-compose.yml                              132 DatabaseURL      DATABASE_URL: ${DATABASE_URL:-[REDACTED:DatabaseUR…
docker-compose.yml                              133 RedisURL         REDIS_URL: ${REDIS_URL:-[REDACTED:RedisURL:redi…9/…
HH бот\.env.dev                                   5 DatabaseURL      DATABASE_URL=[REDACTED:DatabaseURL:post…2/hh]
HH бот\.env.dev                                   8 RedisURL         REDIS_URL=[REDACTED:RedisURL:redi…79/0]
HH бот\adminka\script.js                         10 GenericSecretKV  let [REDACTED:GenericSecretKV:toke…Item]('basic64')
HH бот\adminka\script.js                         13 GenericSecretKV  const p = prompt('Admin pass:')
HH бот\backend\alembic.ini                        9 DatabaseURL      sqlalchemy.url = [REDACTED:DatabaseURL:post…hbot]
HH бот\backend\app\core\config.py                22 RedisURL         redis_url: str = Field("[REDACTED:RedisURL:redi…79…
HH бот\backend\app\main.py                       57 GenericSecretKV  if not token:
HH бот\backend\app\main.py.bak_20250829_140929  112 GenericSecretKV  if not token:
HH бот\backend\app\main.py.bak_20250829_141723  112 GenericSecretKV  if not token:
HH бот\backend\app\main.py.bak_20250829_141858  112 GenericSecretKV  if not token:
HH бот\front_bot\main.py                         71 GenericSecretKV  if not token:
HH бот\scripts\fix-db-env-and-up.ps1             26 DatabaseURL      $raw = Ensure-Line $raw 'DATABASE_URL'       '[RED…
HH бот\scripts\fix-db-env-and-up.ps1             27 RedisURL         $raw = Ensure-Line $raw 'REDIS_URL'          '[RED…
HH бот\scripts\quick-bot-check.ps1               19 GenericSecretKV  [REDACTED:GenericSecretKV:toke….get]("TELEGRAM_BOT…
Makefile                                        162 GenericSecretKV  @[REDACTED:GenericSecretKV:PASS…dc ']A-Za-z0-9!@#%…
scripts\win-fix-db-perms-and-up.ps1              26 DatabaseURL      $raw = Set-Or-AddLine $raw "DATABASE_URL" "[REDACT…
scripts\win-fix-db-perms-and-up.ps1              27 RedisURL         $raw = Set-Or-AddLine $raw "REDIS_URL" "[REDACTED:…
scripts\win-fix-web-cmd.ps1                      48 DatabaseURL      $raw = Set-Or-AddLine $raw "DATABASE_URL" "[REDACT…
scripts\win-fix-web-cmd.ps1                      49 RedisURL         $raw = Set-Or-AddLine $raw "REDIS_URL" "[REDACTED:…
scripts\win-fix-web-workingdir.ps1               42 DatabaseURL      $raw = Set-Or-AddLine $raw "DATABASE_URL" "[REDACT…
scripts\win-fix-web-workingdir.ps1               43 RedisURL         $raw = Set-Or-AddLine $raw "REDIS_URL" "[REDACTED:…
tools\run-local.ps1                              35 DatabaseURL      $env:DATABASE_URL = "[REDACTED:DatabaseURL:post…2/…
tools\run-local.ps1                              36 RedisURL         $env:REDIS_URL    = "[REDACTED:RedisURL:redi…79/0]"
tools\scan-secrets.ps1                           44 AWS_SecretKeyVar @{ Name='AWS_SecretKeyVar';     Regex='(?i)[REDACT…
